design,alpha_deg,CL,CD,L_D
best,18,1.70000000,0.09999266,17.001248
best,18.5,1.70000000,0.09999266,17.001248
best,19,1.70000000,0.09999266,17.001248
best,19.5,1.70000000,0.09999266,17.001248
best,20,1.70000000,0.09999266,17.001248
best,20.5,1.70000000,0.09999266,17.001248
best,21,1.70000000,0.09999266,17.001248
best,21.5,1.70000000,0.09999266,17.001248
best,22,1.70000000,0.09999266,17.001248
best,22.5,1.70000000,0.09999266,17.001248
best,23,1.70000000,0.09999266,17.001248
best,23.5,1.70000000,0.09999266,17.001248
best,24,1.70000000,0.09999266,17.001248
