design,V_m_s,q_Pa,CL_trim,alpha_trim_deg,CD,D_N,P_req_W,L_D,T_avail_N,thrust_margin_N,feasible
best,20.5180,257.855,0.137710,-1.9480,0.020525,116.401,3908.21,6.7094,126.07,9.67,1
best,20.7359,263.362,0.134830,-1.9826,0.020503,118.761,4029.82,6.5761,117.03,-1.73,1
best,20.9539,268.928,0.132040,-2.0161,0.020483,121.149,4154.06,6.4464,107.90,-13.25,1
best,21.1719,274.552,0.129335,-2.0485,0.020463,123.565,4280.96,6.3204,98.66,-24.90,1
best,21.3899,280.235,0.126712,-2.0800,0.020444,126.007,4410.54,6.1979,89.34,-36.67,1
best,21.6078,285.975,0.124169,-2.1106,0.020427,128.478,4542.83,6.0787,79.92,-48.56,1
best,21.8258,291.774,0.121701,-2.1402,0.020410,130.975,4677.85,5.9628,70.40,-60.58,1
best,22.0438,297.631,0.119306,-2.1689,0.020394,133.500,4815.64,5.8501,60.78,-72.72,1
best,22.2618,303.546,0.116981,-2.1968,0.020379,136.051,4956.21,5.7403,51.08,-84.98,1
best,22.4797,309.520,0.114724,-2.2239,0.020364,138.630,5099.60,5.6336,41.27,-97.36,1
best,22.6977,315.551,0.112531,-2.2503,0.020351,141.236,5245.83,5.5296,31.37,-109.86,1
best,22.9157,321.641,0.110400,-2.2758,0.020337,143.868,5394.93,5.4284,21.38,-122.49,1
best,23.1337,327.789,0.108330,-2.3007,0.020325,146.528,5546.93,5.3299,11.28,-135.24,1
best,23.3516,333.995,0.106317,-2.3248,0.020313,149.214,5701.85,5.2340,1.10,-148.12,1
