hour,stamp,pres_hPa,atmp_C,rh,wspd_m_s,gust_m_s,rho0_model,rho0_obs,rho30_model,v_stall_m_s,cl_trim,alpha_trim_deg,cd_trim,drag_N,power_W,thrust_avail_N,margin
0.0,2026-08-05 00:00,1011.2,16.0,0.9023839445818631,4.0,6.0,1.2108380314671132,1.2108380314671132,1.2074087636358397,6.581615997196278,0.4749372447988873,2.1977435203291544,0.03343878164969677,57.998155038617924,1072.458111497926,414.8874152867074,7.15345884727636
1.0,2026-08-05 01:00,1010.9,16.0,0.9023839445818631,4.0,5.0,1.2104765915077822,1.2104765915077822,1.2070470797603554,6.582601992740585,0.4750795566823184,2.1995313901451903,0.03344383966041455,57.989551749350014,1072.299025965726,414.7631341875719,7.152376965773336
2.0,2026-08-05 02:00,1010.8,15.9,0.9081618496369518,4.0,5.0,1.210774847418769,1.210774847418769,1.2073444206397939,6.581791371862717,0.47496255562547646,2.1980615012439353,0.03343968112950296,57.99662433475468,1072.4298068773162,414.86530587345374,7.153266429419483
3.0,2026-08-05 03:00,1010.9,15.8,0.9139812562566745,4.0,5.0,1.2113144365269954,1.2113144365269954,1.207883257139677,6.580323140136945,0.4747506749163632,2.1953996355213343,0.03343215292862845,58.009445687095855,1072.6668896484753,415.0504598075907,7.154877190973026
4.0,2026-08-05 04:00,1011.4,15.8,0.9139812562566745,5.0,6.0,1.211917253417118,1.211917253417118,1.208486481119871,6.578680629343334,0.47451369999260773,2.1924225101884023,0.0334237371003069,58.02380601644546,1072.9324300210012,415.25773844057665,7.156678731534463
5.0,2026-08-05 05:00,1011.9,15.7,0.9139175479782663,4.0,5.0,1.2129879185860262,1.2129879185860262,1.2095561555489756,6.575771048456784,0.4740940624513383,2.1871505871723973,0.03340884457657799,58.04928856041991,1073.4036339923828,415.62529785579335,7.15986893488272
6.0,2026-08-05 06:00,1012.3,15.7,0.9139175479782663,5.0,6.0,1.2134703390545072,1.2134703390545072,1.2100389019151248,6.574459212016248,0.4739049220976695,2.184774409433996,0.033402136479148234,58.06079637510351,1073.6164278165106,415.7911782089287,7.161306839863123
7.0,2026-08-05 07:00,1012.2,15.6,0.9138537700596067,4.0,5.0,1.2138177588279715,1.2138177588279715,1.210384844171273,6.573519615904183,0.47376947448467294,2.1830727757187205,0.0333973343062095,58.06904588299966,1073.7689714905846,415.9100502039105,7.162336557792017
8.0,2026-08-05 08:00,1012.2,15.5,0.9197232843946157,4.0,5.0,1.2142382742476243,1.2142382742476243,1.2108045241711098,6.572380285089774,0.4736052600561626,2.181009743363215,0.033391514072761114,58.079056979215395,1073.9540891263853,416.0542598167805,7.163584972904652
9.0,2026-08-05 09:00,1012.1,15.4,0.9196635817576888,5.0,6.0,1.2145859293520473,1.2145859293520473,1.2111507022600971,6.5714409401160685,0.47346989146532203,2.1793091024064077,0.03338671773627877,58.087317391852615,1074.106834442701,416.17321284817666,7.164614093653248
