order,n_issues,radius_max,resid_rms_mean,rmse_pres_hPa,nrmse_pres_hPa,rmse_atmp_C,nrmse_atmp_C,rmse_dewp_C,nrmse_dewp_C,rmse_wspd_m_s,nrmse_wspd_m_s,rmse_windvec_m_s,nrmse_windvec_m_s,rmse_gust_excess_m_s,nrmse_gust_excess_m_s,nrmse_mean
1,14,0.9902145733864328,1.1850339281232714,2.1598521822269774,0.9671062501981063,0.6036364218768682,0.6702479109458478,0.7968107647615383,1.00029016418073,2.205385719848366,1.1812272767324687,3.6022889847768096,1.9294230343451424,0.6149990685378881,1.1911939704447458,1.156581434474507
2,14,0.9886950285873334,1.1697769097949338,2.031631054798367,0.9096933148296314,0.7919807683669121,0.8793761215679087,0.9315388429968597,1.1694233855900764,2.0503936898745656,1.0982119511894262,3.4003101964760494,1.8212411177239378,0.6150263915150972,1.191246892420357,1.1781987972202228
3,14,0.987574712631583,1.1549728369482375,2.0933648825221867,0.9373355632814677,0.7254778284804885,0.8055345591385876,0.8992652022741578,1.1289081129495484,2.0133411192749353,1.0783662132437084,3.407984384452574,1.8253514917428948,0.6141958592102862,1.1896382313274183,1.1608556952806042
4,14,0.9829606998886425,1.1499790122383682,2.04965929772226,0.9177657313381581,0.7762973512033329,0.8619620338664123,0.9259522246267358,1.162410127670125,1.9115674416557888,1.0238551846398873,3.3864347687770313,1.8138092959220191,0.6134097255456328,1.1881155661248106,1.1613196565935688
6,14,0.986467493066804,1.1295230205637588,1.934551452564585,0.866224465035368,0.6774438481078016,0.7522000123279341,0.8531195467578263,1.070978366799002,1.90173107418635,1.0185867250437748,3.537834749524388,1.8949006829506088,0.62060139796741,1.2020451430371812,1.134155899198978
