lead_h,anom_norm_mean,anom_norm_std_across_issues,anom_pres_mean,anom_atmp_mean,anom_dewp_mean,anom_u_mean,anom_v_mean,anom_gex_mean
0,2.444721046755578,0.700495455653427,0.5201303846558858,0.9846807318278524,1.0181908712426508,1.0120314650784508,0.8253479972357846,0.5297006906516992
1,2.2576883317074405,0.6648103537408628,0.5338837229314995,0.9863195001160857,0.992160527974522,0.9317059927612164,0.7477766878117168,0.42662762012837147
2,2.1767457169971034,0.6484750351180752,0.5406844473405084,0.9730023259224945,0.9665881994913939,0.8476771994335363,0.7446625296508574,0.3780568245576972
3,2.1317058970429392,0.646612829970857,0.5449598454311523,0.9627286899066366,0.9561420869584375,0.8077790440640026,0.7289169134396399,0.3777740793712853
4,2.0903523436552183,0.6564802321685016,0.550915709727962,0.9476266305691442,0.9584605231741467,0.7874538766561763,0.7130534630031157,0.3512421001114984
5,2.04849273703945,0.6552667778363584,0.5531329491958309,0.9281651292299337,0.9566703259337457,0.7525026051857245,0.6760327755960628,0.33269395668181356
6,2.006551219753421,0.6472894177166477,0.5553149669642712,0.9088835453493368,0.9487089417705077,0.7313208921199231,0.6516121526278029,0.31654109885785026
7,1.9628199001751128,0.6386412643902145,0.5549365965433518,0.889146718247274,0.9351293302293436,0.702643258538827,0.618334885151924,0.309331490621238
8,1.9175490548266307,0.6336751392604373,0.551909651254377,0.8697587454838526,0.9177128592768806,0.6767053436674928,0.592140754590399,0.3024891814443837
9,1.870353400284691,0.6265090090514889,0.5481225345353372,0.8518765013111859,0.8990569355181878,0.6487972425169014,0.5704652597210983,0.2924287514049346
10,1.8271597775900952,0.6198498350887682,0.5440473638430944,0.8357254397614721,0.8823756721697196,0.6218394415026991,0.5466946625226355,0.2843268386024616
11,1.7885672324055897,0.6137103199044118,0.5398909013935952,0.8207284456310032,0.8673360736916349,0.5969089828596451,0.5264286649302378,0.27536270204414826
12,1.752060181750773,0.6079311294495217,0.5349007557491569,0.8066022130396303,0.8538071934442938,0.5737335153308764,0.5056560737518241,0.2665684020164966
13,1.7170129130395875,0.6019000215028588,0.5290949324760036,0.7927015939432165,0.8405580354163397,0.5521449939335326,0.4855410100486485,0.2575200395684553
14,1.682579933664447,0.5961074632466522,0.5232629403094916,0.7791100836163661,0.8273280983935033,0.5339512006116556,0.4653276788710532,0.24890953507136512
15,1.6489308613314562,0.5903456980445003,0.5168067218296128,0.7655870331487189,0.8150571661505105,0.5162994939068687,0.44573360914211885,0.24085514575607023
16,1.616344744366243,0.5846507592373956,0.5099056910294074,0.7538294539324042,0.8026668170584047,0.49888964127703944,0.42685333424625327,0.23314414648467804
17,1.5848422687801869,0.5790107051113487,0.5026171333666015,0.7425841394436675,0.7904138762560197,0.4818501994850384,0.40857268260157414,0.22624180931432222
18,1.5545378332379058,0.5735937003729796,0.49497336519001145,0.7315457740630192,0.7784663911482329,0.46755807724101645,0.39087985968432265,0.2196056757765301
19,1.52541898949407,0.5684504941626758,0.48704834353314075,0.7207443841215112,0.7668351692986413,0.45369215152718745,0.3738750621107278,0.21319633389418421
20,1.497355358179225,0.5635632894032829,0.478875856181906,0.7103833978209216,0.7555158817589506,0.44389298249763814,0.3574979655115569,0.20698350800261092
21,1.470284325041214,0.5589014437282572,0.4705035929463881,0.7009076015726864,0.7444444125771089,0.43904637437183985,0.3418859955714441,0.2008761748159645
22,1.444143313010951,0.5544513858324961,0.46197221142299544,0.6915593659495269,0.7335839934636391,0.43456126914386245,0.3281217823933808,0.19494630484456196
23,1.4188826884064263,0.5501877861294621,0.45330922255982736,0.6823274622014189,0.7229211264522055,0.4301530049360416,0.31488163558399723,0.18926422305905857
24,1.394468995328424,0.546108154507342,0.44454684718256043,0.6732154313641928,0.7124499837076209,0.42581688170507953,0.3021627793619672,0.184373221733092
25,1.3708736868057818,0.5422177181105601,0.4357103278609729,0.6642262579504165,0.7021781269261623,0.42156075480613114,0.2904258522179211,0.17965790501189147
26,1.348066250605066,0.5385058723701915,0.42682335400339316,0.6553623500356965,0.6921134330752331,0.4173840233630821,0.2808897757924845,0.17510746445832467
27,1.3260138393133072,0.5349646299981805,0.4179096661076307,0.6466251847383437,0.682254767314246,0.4132875121835824,0.2717170029051892,0.17070754323537296
28,1.304679241483174,0.5315796702959056,0.40898784003134,0.6380130695615063,0.6725976011940865,0.40926664122601225,0.2634380685198507,0.1670904939834239
29,1.2840249042732115,0.5283350292917325,0.4000750551060424,0.6295237885482518,0.6631336511488711,0.40531643802333034,0.25579095417184045,0.163679886781233
30,1.2640155168855494,0.525216114521573,0.39118691706578357,0.6211565575546992,0.6538553034643401,0.4014332072177809,0.24843640057079472,0.16059012480347504
31,1.2446177459504675,0.522209007928259,0.38233714726837476,0.6129101396033237,0.6447565038247579,0.3989563391799454,0.24175140886945282,0.1576844538111651
32,1.2258010632320777,0.5193018459082074,0.37353861813328487,0.6047842874209896,0.6358326043526202,0.398752384187397,0.23547114088375634,0.15485606128966176
33,1.207537689811538,0.516483737378709,0.3648029818758968,0.5967789289414309,0.6270798926535761,0.39842544309592826,0.22960479645611184,0.15210395081737774
34,1.189800501203549,0.5137441399358414,0.3561406070146653,0.5888937199645582,0.6184948281777634,0.3979777839593115,0.22400156506855637,0.14942709619796346
35,1.1725636346504478,0.5110732432417979,0.3475608982884572,0.5821648283222435,0.6100735082073839,0.3974126850492133,0.21860855308297525,0.14682281729062654
36,1.1558021820599143,0.5084614179561302,0.3390722334341054,0.5756467685743519,0.6018118532260367,0.3967334572051701,0.21475367377607624,0.14428974656212898
37,1.139492290094937,0.5058995938955884,0.3306821400532948,0.5691672146787291,0.5937056842446348,0.3959433865068596,0.2115095211428152,0.14182614919638967
38,1.1236115448611441,0.5033794628569538,0.32239740380422216,0.5627289171965586,0.5857509106282414,0.395046134835021,0.209391144702459,0.13943025857521696
39,1.1081389277276175,0.5008934504413209,0.3142240638989316,0.5563344369791472,0.5779436663237393,0.39404544338350184,0.20738522804989556,0.13710076866370435
40,1.09305475750679,0.49843478814810144,0.30616750972251855,0.5499861942095713,0.570280307349975,0.3929452038283901,0.20540481897945614,0.134836124797144
41,1.0783406806792983,0.495997429229554,0.29823252223365304,0.5436864502484299,0.5627573684271602,0.3932833924980148,0.20344988886309237,0.13263482251745368
42,1.0639794946631298,0.49357595394546117,0.2904233022772255,0.5374372894080405,0.5553715279154501,0.39383608519318547,0.20152043423412658,0.1304953493680456
43,1.0499551140133105,0.4911655187941166,0.28281051674876506,0.53124061076942,0.5481195555098078,0.39420496380768855,0.1996164183943078,0.12841613048899994
44,1.0362525124990352,0.48876179720249696,0.2754578614997644,0.5250981306855469,0.5409983075156434,0.39439804516962207,0.1977377823006781,0.1263956597643491
45,1.022857661332271,0.4863609646474439,0.26829073654452446,0.5190113912521669,0.5340047296373575,0.39442318475669486,0.19588445716704794,0.12443244050236639
46,1.0097574948348536,0.48395967206225915,0.2617148836370931,0.512981779545006,0.5271358617688104,0.3942880938745253,0.19405634660841709,0.12252499514536208
47,0.9969398596150286,0.4815550211852002,0.2552445490540683,0.5070105378982096,0.5203888461976436,0.3940003195129522,0.19225333924022467,0.12067187518646788
48,0.9843934555522186,0.479144534799422,0.24888238053854314,0.5010987741461713,0.5137609259664163,0.39356723732608206,0.19107915879125548,0.11887163922224366
