t,lead_h,record_utc,z,airspeed,temperature_C,pressure_hPa,density_kg_m3,humidity,wind_x,wind_y,ice_mass_kg
0.05,0.005,2026-09-05 23:00,-0.10202932678456987,0.7901487520693515,16.69991606308065,1015.5974354507239,1.2128061857875172,0.9087070025810892,-0.0,0.0,0.0
0.1,0.01,2026-09-05 23:00,-0.09535007587712156,1.0782925937893073,16.69983212616131,1015.5948709014476,1.21280344886439,0.9087125190768728,-0.0,0.0,0.0
0.15000000000000002,0.015000000000000001,2026-09-05 23:00,-0.08135663166464921,1.3613068489767597,16.699748189241973,1015.5923063521715,1.2128007119399893,0.9087180355726564,-0.0,0.0,0.0
0.2,0.02,2026-09-05 23:00,-0.06094073663297872,1.6190377934007547,16.699664252322634,1015.5897418028951,1.212797975014314,0.90872355206844,-0.0,0.0,0.0
0.25,0.025,2026-09-05 23:00,-0.037526126870416884,1.8321365944346122,16.69958031540324,1015.587177253619,1.2127952380873657,0.9087290685642236,-0.0,0.0,0.0
0.3,0.03,2026-09-05 23:00,-0.015532890099194674,1.9988110406220119,16.6994963784839,1015.5846127043428,1.2127925011591432,0.9087345850600073,-0.0,0.0,0.0
0.35,0.034999999999999996,2026-09-05 23:00,0.0015132237090544143,2.3049644905003315,16.69940260561043,1015.5818663692995,1.2127895917860658,0.9087401015557909,-0.16882896864536875,0.17809548700264702,0.0
0.39999999999999997,0.04,2026-09-05 23:00,0.01270973210651638,3.451263237803472,16.69924589138651,1015.5779567679929,1.2127855789257074,0.9087456180515745,-1.0300419082011192,1.1109244114716887,0.0
0.44999999999999996,0.04499999999999999,2026-09-05 23:00,0.020248241963663573,3.7877777221026756,16.699112954153122,1015.5744866079225,1.212781982920389,0.9087511345473581,-1.2112584513295206,1.3353215750528067,0.0
0.49999999999999994,0.04999999999999999,2026-09-05 23:00,0.027182110444499745,4.017757469756641,16.698983947088664,1015.571089084769,1.212778455816487,0.9087566510431418,-1.3214394946141124,1.4886288960416525,0.0
0.5499999999999999,0.05499999999999999,2026-09-05 23:00,0.036219983956464405,4.230784247095234,16.698841263991426,1015.5674388058179,1.2127746889425268,0.9087621675389255,-1.4269626821720736,1.6420598776491113,0.0
0.6,0.06,2026-09-05 23:00,0.04878825414228571,4.4407669641783665,16.698675633315872,1015.5633644180019,1.2127705197498517,0.9087676840347091,-1.5350776565214836,1.8037188808374505,0.0
0.65,0.065,2026-09-05 23:00,0.06466590111160564,4.635262568243563,16.69848849169125,1015.558892474134,1.212765973425462,0.9087732005304927,-1.635110357203268,1.9608833876972884,0.0
0.7000000000000001,0.07,2026-09-05 23:00,0.08232691054110812,4.801315236628689,16.698289758210592,1015.5542062969034,1.2127612238708352,0.9087787170262763,-1.7177825033005962,2.1014717378937355,0.0
0.7500000000000001,0.07500000000000001,2026-09-05 23:00,0.09977000377971047,4.934080180980144,16.698092441185224,1015.5495463016119,1.212756499147359,0.90878423352206,-1.7799443807320685,2.220130873677103,0.0
0.8000000000000002,0.08000000000000002,2026-09-05 23:00,0.11540498697317048,5.035931704016901,16.69790687687515,1015.5451035183114,1.2127519804698235,0.9087897500178436,-1.8230581988110592,2.317065146869509,0.0
0.8500000000000002,0.08500000000000002,2026-09-05 23:00,0.12861024169669313,5.113123764860006,16.697737105800115,1015.5409526210298,1.2127477386762682,0.9087952665136272,-1.851098535421472,2.3958817753047827,0.0
0.9000000000000002,0.09000000000000004,2026-09-05 23:00,0.13979585078785278,5.173092796120016,16.697580462421627,1015.5370443454676,1.2127437270345276,0.9088007830094108,-1.8690584751863768,2.4619214705077552,0.0
0.9500000000000003,0.09500000000000003,2026-09-05 23:00,0.15004788130491367,5.222972770494788,16.697429887303883,1015.5332482218874,1.212739821778916,0.9088062995051944,-1.8818036269247276,2.5208330469711155,0.0
1.0000000000000002,0.10000000000000002,2026-09-05 23:00,0.16058065683181982,5.268569373394627,16.697277487343626,1015.5294183737308,1.212735884527925,0.908811816000978,-1.8930864168388615,2.5772009759958845,0.0
1.0500000000000003,0.10500000000000004,2026-09-05 23:00,0.17224907924127747,5.313329217647509,16.697117705678636,1015.5254521021799,1.2127318178588786,0.9088173324967617,-1.9049006068962941,2.6335116197435755,0.0
1.1000000000000003,0.11000000000000003,2026-09-05 23:00,0.18529611841891613,5.357852739909434,16.696948963004672,1015.5213202198828,1.212727594083479,0.9088228489925453,-1.917468783317845,2.6899333337196425,0.0
1.1500000000000004,0.11500000000000003,2026-09-05 23:00,0.1993847071685239,5.4005664847207635,16.696773450258434,1015.5170632190623,1.2127232516131627,0.9088283654883289,-1.9298545093206334,2.7449996642959955,0.0
1.2000000000000004,0.12000000000000005,2026-09-05 23:00,0.21384450083681464,5.439217733060111,16.69659552468022,1015.5127616280553,1.2127188668388962,0.9088338819841125,-1.9408127973558411,2.796725501093515,0.0
1.2500000000000004,0.12500000000000006,2026-09-05 23:00,0.2279948400169459,5.472222751344403,16.696419610556177,1015.5084972138659,1.2127145173270468,0.9088393984798961,-1.9494475676821064,2.8435485563135052,0.0
1.3000000000000005,0.13000000000000006,2026-09-05 23:00,0.24140359019571603,5.499235395549638,16.696248516760704,1015.5043218880913,1.2127102523226292,0.9088449149756798,-1.955490678020289,2.8847843102042816,0.0
1.3500000000000005,0.13500000000000004,2026-09-05 23:00,0.25399562011922444,5.520991997798989,16.696082731646868,1015.5002446757936,1.212706080387395,0.9088504314714634,-1.9592540061114039,2.920615327605126,0.0
1.4000000000000006,0.14000000000000007,2026-09-05 23:00,0.2660015777815009,5.538817245020033,16.695920756002693,1015.4962378692428,1.2127019752372312,0.9088559479672471,-1.9613966837300492,2.9517882108980764,0.0
1.4500000000000006,0.14500000000000007,2026-09-05 23:00,0.2778014208793746,5.554094512095188,16.695760120103216,1015.4922558245391,1.2126978935730568,0.9088614644630307,-1.96264370503783,2.9792078991417825,0.0
1.5000000000000007,0.15000000000000005,2026-09-05 23:00,0.28974547066224815,5.567844450995036,16.695598546860253,1015.4882564581629,1.2126937954730894,0.9088669809588144,-1.9635585058808651,3.003587439010883,0.0
1.5500000000000007,0.15500000000000005,2026-09-05 23:00,0.3020258432379605,5.580499025863989,16.69543478751916,1015.4842166916529,1.2126896590442322,0.908872497454598,-1.9644304632511378,3.025258422306993,0.0
1.6000000000000008,0.16000000000000006,2026-09-05 23:00,0.3146357483604678,5.591928532246039,16.695268886216525,1015.4801373408496,1.2126854850602886,0.9088780139503816,-1.965287711313218,3.0441720790774585,0.0
1.6500000000000008,0.1650000000000001,2026-09-05 23:00,0.32741259177330323,5.601685260469881,16.69510189981503,1015.4760379379696,1.2126812920501195,0.9088835304461652,-1.9659977466524614,3.060042951421053,0.0
