t,msg,x,y,z,Vx,Vz,roll,pitch,yaw,alt_mm,mode
0.05,HIL_STATE,0.03985258260659635,0.0,-0.023404070548000686,0.7970516521319269,-0.4680814109600137,0.0,4.0,0.0,-23,TAKEOFF
0.1,HIL_STATE,0.09500153020862645,0.0,-0.06905177691527085,1.1029789520406021,-0.9129541273454034,0.0,4.0,0.0,-69,TAKEOFF
0.15000000000000002,HIL_STATE,0.16658414569118976,0.0,-0.13100314712738295,1.431652309651266,-1.2390274042422418,0.0,14.999999999999998,0.0,-131,TAKEOFF
0.2,HIL_STATE,0.25623310417343786,0.0,-0.2059295791346203,1.7929791696449617,-1.4985286401447464,0.0,14.999999999999998,0.0,-205,TAKEOFF
0.25,HIL_STATE,0.35675161059490756,0.0,-0.22866379071444348,2.010370128429394,-0.4546842315964641,0.0,14.999999999999998,0.0,-228,TAKEOFF
0.3,HIL_STATE,0.46139731996981515,0.0,-0.2251210652884294,2.092914187498151,0.07085450852028152,0.0,14.999999999999998,0.0,-225,TAKEOFF
0.35,HIL_STATE,0.5688206394503652,0.0,-0.20356531955259355,2.1484663896110003,0.4311149147167168,0.0,14.999999999999998,0.0,-203,TAKEOFF
0.39999999999999997,HIL_STATE,0.6790980462196927,0.0,-0.17623532732664168,2.20554813538655,0.5465998445190373,0.0,14.999999999999998,0.0,-176,TAKEOFF
0.44999999999999996,HIL_STATE,0.7925314588352809,0.0,-0.15643234767092648,2.2686682523117625,0.39605959311430405,0.0,14.999999999999998,0.0,-156,TAKEOFF
0.49999999999999994,HIL_STATE,0.9089603619676205,0.0,-0.15241776244609917,2.328578062646793,0.08029170449654621,0.0,14.999999999999998,0.0,-152,TAKEOFF
0.5499999999999999,HIL_STATE,1.027981632484731,0.0,-0.1641237802092707,2.3804254103422124,-0.23412035526343067,0.0,14.999999999999998,0.0,-164,TAKEOFF
0.6,HIL_STATE,1.1491693202509614,0.0,-0.18321378206670522,2.423753755324606,-0.38180003714869026,0.0,14.999999999999998,0.0,-183,TAKEOFF
0.65,HIL_STATE,1.2718581335996697,0.0,-0.19813976715482107,2.4537762669741663,-0.2985197017623171,0.0,14.999999999999998,0.0,-198,TAKEOFF
0.7000000000000001,HIL_STATE,1.3951703006448195,0.0,-0.20245431142791673,2.4662433409029956,-0.08629088546191321,0.0,14.999999999999998,0.0,-202,TAKEOFF
