t,msg,x,y,z,Vx,Vz,roll,pitch,yaw,alt_mm,mode
0.05,HIL_STATE,0.6480721755830399,0.0,24.92768022586013,12.961443511660796,-1.4463954827974204,0.0,-5.0,0.0,24927,LAND
0.1,HIL_STATE,1.2999278632042348,0.0,24.883524396465187,13.037113752423899,-0.8831165878988062,0.0,-2.0,0.0,24883,LAND
0.15000000000000002,HIL_STATE,1.9528645560245859,0.0,24.850194805751013,13.058733856407022,-0.6665918142835127,0.0,-2.0,0.0,24850,LAND
0.2,HIL_STATE,2.60616441755863,0.0,24.820993885678938,13.065997230680882,-0.5840184014415026,0.0,-2.0,0.0,24820,LAND
0.25,HIL_STATE,3.2596019355476584,0.0,24.79336364217944,13.068750359780564,-0.5526048699899664,0.0,-2.0,0.0,24793,LAND
0.3,HIL_STATE,3.9131000059863212,0.0,24.766330683297284,13.069961408773255,-0.5406591776431512,0.0,-2.0,0.0,24766,LAND
0.35,HIL_STATE,4.566054002487468,0.0,24.718247775404098,13.059079930022934,-0.9616581578637079,0.0,-5.0,0.0,24718,LAND
0.39999999999999997,HIL_STATE,5.219401125806799,0.0,24.662212670856626,13.066942466386617,-1.1207020909494716,0.0,-5.0,0.0,24662,LAND
0.44999999999999996,HIL_STATE,5.873660919622729,0.0,24.603185576298923,13.085195876318595,-1.1805418911540198,0.0,-5.0,0.0,24603,LAND
0.49999999999999994,HIL_STATE,6.530238935199165,0.0,24.564496291191187,13.131560311528718,-0.7737857021547571,0.0,-2.0,0.0,24564,LAND
0.5499999999999999,HIL_STATE,7.187476941870349,0.0,24.533507660669795,13.144760133423672,-0.6197726104278246,0.0,-2.0,0.0,24533,LAND
0.6,HIL_STATE,7.8449129764456345,0.0,24.505418353837346,13.148720691505712,-0.561786136648961,0.0,-2.0,0.0,24505,LAND
0.65,HIL_STATE,8.502399088770222,0.0,24.478417625319423,13.149722246491736,-0.5400145703584649,0.0,-2.0,0.0,24478,LAND
0.7000000000000001,HIL_STATE,9.159884662270693,0.0,24.451824336699236,13.149711470009418,-0.5318657724037541,0.0,-2.0,0.0,24451,LAND
0.7500000000000001,HIL_STATE,9.81735025639421,0.0,24.425382635221872,13.149311882470327,-0.528834029547239,0.0,-2.0,0.0,24425,LAND
0.8000000000000002,HIL_STATE,10.474784983612569,0.0,24.39899648881208,13.148694544367178,-0.5277229281958546,0.0,-2.0,0.0,24398,LAND
0.8500000000000002,HIL_STATE,11.132179716727777,0.0,24.372629722035004,13.147894662304171,-0.527335335541525,0.0,-2.0,0.0,24372,LAND
0.9000000000000002,HIL_STATE,11.789526682875834,0.0,24.346268434229962,13.146939322961146,-0.5272257561008089,0.0,-2.0,0.0,24346,LAND
