site,lead_h,stamp_utc,stamp_jst,rain_mm_h,anchored_mm_h
高知,41.0,2026-09-22T16:00:00Z,09/23 01:00,0.0,0.0
高知,42.0,2026-09-22T17:00:00Z,09/23 02:00,0.0,0.0
高知,43.0,2026-09-22T18:00:00Z,09/23 03:00,0.0,0.0
高知,44.0,2026-09-22T19:00:00Z,09/23 04:00,0.0,0.0
高知,45.0,2026-09-22T20:00:00Z,09/23 05:00,0.0,0.0
高知,46.0,2026-09-22T21:00:00Z,09/23 06:00,0.0,0.0
高知,47.0,2026-09-22T22:00:00Z,09/23 07:00,0.0,0.0
高知,48.0,2026-09-22T23:00:00Z,09/23 08:00,0.0,0.0
高知,49.0,2026-09-23T00:00:00Z,09/23 09:00,0.0,0.0
高知,50.0,2026-09-23T01:00:00Z,09/23 10:00,0.0,0.0
高知,51.0,2026-09-23T02:00:00Z,09/23 11:00,0.0,0.0
高知,52.0,2026-09-23T03:00:00Z,09/23 12:00,0.0,0.0
高知,53.0,2026-09-23T04:00:00Z,09/23 13:00,0.0,0.0
高知,54.0,2026-09-23T05:00:00Z,09/23 14:00,0.0,0.0
高知,55.0,2026-09-23T06:00:00Z,09/23 15:00,0.0,0.0
高知,56.0,2026-09-23T07:00:00Z,09/23 16:00,0.0,0.0
高知,57.0,2026-09-23T08:00:00Z,09/23 17:00,0.0,0.0
高知,58.0,2026-09-23T09:00:00Z,09/23 18:00,0.0,0.0
高知,59.0,2026-09-23T10:00:00Z,09/23 19:00,0.0,0.0
高知,60.0,2026-09-23T11:00:00Z,09/23 20:00,0.0,0.0
高知,61.0,2026-09-23T12:00:00Z,09/23 21:00,0.0,0.0
高知,62.0,2026-09-23T13:00:00Z,09/23 22:00,0.0,0.0
高知,63.0,2026-09-23T14:00:00Z,09/23 23:00,0.0,0.0
高知,64.0,2026-09-23T15:00:00Z,09/24 00:00,0.0,0.0
高知,65.0,2026-09-23T16:00:00Z,09/24 01:00,0.0,0.0
高知,66.0,2026-09-23T17:00:00Z,09/24 02:00,0.0,0.0
高知,67.0,2026-09-23T18:00:00Z,09/24 03:00,0.0,0.0
高知,68.0,2026-09-23T19:00:00Z,09/24 04:00,0.0,0.0
高知,69.0,2026-09-23T20:00:00Z,09/24 05:00,0.0,0.0
高知,70.0,2026-09-23T21:00:00Z,09/24 06:00,0.0,0.0
高知,71.0,2026-09-23T22:00:00Z,09/24 07:00,0.0,0.0
高知,72.0,2026-09-23T23:00:00Z,09/24 08:00,0.0,0.0
