site,area,lead_h,stamp_jst,dist_km,go,breach,n_breach,wind_m_s,gust_m_s,rain_mm_h,visibility_m,lightning_risk,condition,density_kg_m3,prop_factor,extra_cd,margin,v_stall_m_s,alpha_trim_deg
大島,130020,48.0,09/23 08:00,978.1,True,,0,7.2,10.4,0.0,20000.0,0.0,rain,1.1751,1.0,0.0,7.054,6.67,2.36
大島,130020,51.0,09/23 11:00,1065.0,True,,0,6.8,9.7,0.0,20000.0,0.0,rain,1.1764,1.0,0.0,7.058,6.67,2.36
大島,130020,54.0,09/23 14:00,1152.4,True,,0,6.4,9.2,0.0,20000.0,0.0,rain,1.1775,1.0,0.0,7.062,6.66,2.35
大島,130020,57.0,09/23 17:00,1240.3,True,,0,6.1,8.7,0.0,20000.0,0.0,rain,1.1785,1.0,0.0,7.065,6.66,2.34
大島,130020,60.0,09/23 20:00,1328.6,True,,0,5.8,8.2,0.0,20000.0,0.0,rain,1.1794,1.0,0.0,7.068,6.66,2.34
大島,130020,63.0,09/23 23:00,1417.4,True,,0,5.5,7.9,0.0,20000.0,0.0,rain,1.1802,1.0,0.0,7.07,6.66,2.34
大島,130020,66.0,09/24 02:00,1506.5,True,,0,5.3,7.5,0.0,20000.0,0.0,rain,1.181,1.0,0.0,7.073,6.65,2.33
大島,130020,69.0,09/24 05:00,1595.9,True,,0,5.1,7.2,0.0,20000.0,0.0,rain,1.1816,1.0,0.0,7.075,6.65,2.33
大島,130020,72.0,09/24 08:00,1685.6,True,,0,4.9,6.9,0.0,20000.0,0.0,rain,1.1822,1.0,0.0,7.077,6.65,2.32
大阪,270000,0.0,09/21 08:00,369.7,False,"wind,gust",2,18.3,26.2,1.2,19597.0,0.03,rain,1.1503,0.994,0.0,6.931,6.74,2.49
大阪,270000,3.0,09/21 11:00,347.5,False,"wind,gust",2,18.6,26.6,0.8,19726.0,0.02,rain,1.1509,0.995,0.0,6.944,6.74,2.49
